headline,date,doc_type,material_type,section,keywords
"Studies Say Private Medicare Plans Have Added Costs, for Little Gain",2008-11-23,article,News,,"['Medicine and Health', 'Presidential Election of 2008', 'Health Insurance and Managed Care', 'Medicare']"
Retail Worries Help Push Markets Lower,2008-11-11,article,News,,"['International Trade and World Market', 'RETAIL STORES AND TRADE', 'Subprime Mortgage Crisis', 'Stocks and Bonds']"
Hoping to Sell the Emotion of Love (and Rings),2008-11-22,article,Interview,,"['RETAIL STORES AND TRADE', 'Jewels and Jewelry']"
Wall Street mixed after four-day rise,2008-11-28,article,News,,[]
Montblanc's watchmaking strategy,2008-11-27,article,News,,[]
"Quote Unquote | Chanel, Mint Condition",2008-11-20,article,News,,[]
Limited Edition | Chanel Coins,2008-11-20,article,Web Log,,[]
"The High Low | Lauren by Ralph Lauren Bracelet, $78",2008-12-01,article,Web Log,,[]
What Gives | Gifting the Style Guy,2008-12-01,article,Web Log,,[]
Oz Minerals gets 2 more months to refinance debt,2008-11-30,article,News,,[]
