headline,date,doc_type,material_type,section,keywords
"Much Ado About Gold, But Some Wonder Why",2002-02-15,article,News,,"['Officiating (Sports)', 'Ice Skating', 'PUBLIC OPINION', 'WINTER GAMES (OLYMPICS)', 'Olympic Games', 'Ethics', 'Figure Skating', 'Olympic Games (2002)', 'News and News Media']"
Hughes Jumps Past 3 Rivals to Take Gold,2002-02-22,article,News,,[]
Airlines' Cost Cutting Extends to Fliers' Clubs,2002-02-03,article,News,,"['World Trade Center (NYC)', 'Airlines and Airplanes', 'Airports', 'Shutdowns (Institutional)', 'Hijacking', 'Working Hours', 'Terrorism']"
Editorial Observer; Manhattan's Silk Stocking District Becomes Gold-Plated,2002-02-15,article,Editorial,,"['Finances', 'LEGISLATURE', 'REAPPORTIONMENT', 'Elections']"
"Personal Business: Vicarious Consumption; Travel History for Sale, at Very Modern Prices",2002-02-17,article,News,,['Antiques']
"Mining Cellphones, Japan Finds El Dorado",2002-02-28,article,News,,"['Metals and Minerals', 'Telephones and Telecommunications', 'Recycling of Waste Materials']"
Friesinger (First) and Rodriguez (Third) Are the Toast of Their Towns,2002-02-21,article,News,,"['Ice Skating', 'Records and Achievements', 'Speed Skating', 'WINTER GAMES (OLYMPICS)', 'Olympic Games', 'Olympic Games (2002)']"
Personal Costs for Medicare H.M.O.'s Rise,2002-02-14,article,News,,"['HEALTH MAINTENANCE ORGANIZATIONS AND MANAGED CARE', 'HEALTH INSURANCE', 'Finances', 'Medicaid', 'AGED', 'Medicare', 'Medicine and Health', 'Handicapped']"
"A German Legend Loses to an Italian, Then Loses His Composure",2002-02-12,article,News,,"['Records and Achievements', 'Luge Racing', 'WINTER GAMES (OLYMPICS)', 'Olympic Games', 'Olympic Games (2002)']"
America on thin ice in South Korea,2002-03-01,article,,,[]
