headline,date,doc_type,material_type,section,keywords
A Luxury Phone Designed for Women,2013-12-09,article,News,,"['Cellular Telephones', 'Luxury Goods and Services', 'Jewels and Jewelry']"
What the New Health Insurance Law Means for My Workers,2013-12-16,article,News,,"['Doctors', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Prices (Fares, Fees and Rates)', 'Small Business']"
Weighing Health Plans: The Devilish Details,2013-12-20,article,News,,"['Personal Finances', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)']"
An Owner Figures Out How to Save on His Health Insurance,2013-12-05,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Small Business', 'Smoking and Tobacco']"
"On Health Exchanges, Premiums May Be Low, but Other Costs Can Be High",2013-12-09,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)']"
How I Found a Surprisingly Good Health Plan,2013-12-02,article,News,,[]
"Asada, After a Struggle, Is Soaring Over the Ice Again",2013-12-28,article,News,,"['Figure Skating', 'Olympic Games (2014)', 'Ice Skating']"
Disruptions: Betting on a Coin With No Realm,2013-12-22,article,News,,['Bitcoin (Currency)']
"Seven Days of Style | The Duchess of Cambridge’s Pricey New ’Do, Jay Z and Beyonce’s New Diet and Alexander’s Wang’s Foray Into Music",2013-12-06,article,News,,[]
"For Vikings, New Stadium Meets Lingering Doubts",2013-12-04,article,News,,"['Football', 'Stadiums and Arenas']"
