headline,date,doc_type,material_type,section,keywords
"As a Boom Slows, Peru Grows Uneasy",2013-08-20,article,News,,"['Economic Conditions and Trends', 'Metals and Minerals', 'International Trade and World Market']"
"After Going All In During Mining Boom, BHP Cuts Its Ambitions",2013-08-08,article,News,,"['Commodities', 'Metals and Minerals', 'Mines and Mining']"
Trump Further Sullies For-Profit Schools,2013-08-26,article,News,,"['For-Profit Schools', 'Suits and Litigation (Civil)']"
There’s Big Revenue in Those Little Fees,2013-08-05,article,News,,"['Airlines and Airplanes', 'Prices (Fares, Fees and Rates)']"
One Book In . . .,2013-08-02,article,News,,['Books and Literature']
"For Obamacare, Some Hurdles Still Ahead",2013-08-07,article,News,,"['Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care']"
Bank of America May Merge Merrill Lynch With Parent,2013-08-16,article,News,,[]
"Easy Credit Dries Up, Choking Growth in China",2013-08-16,article,News,,"['Economic Conditions and Trends', 'Credit and Debt', 'Real Estate and Housing (Residential)']"
"Amid Political Fight, Confusion and Fear About New York’s Health Exchange",2013-08-03,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)']"
The Central Challenge in U.S. Health Policy,2013-08-30,article,News,,"['Health Insurance and Managed Care', 'Prices (Fares, Fees and Rates)']"
