headline,date,doc_type,material_type,section,keywords
Cold Sends Oil Contracts Up Despite Late Profit Taking,1988-01-08,article,News,,"['PRICES', 'HEATING FUEL', 'Oil (Petroleum) and Gasoline', 'FUTURES TRADING', 'CONTRACTS']"
"For Botha, What Price 'Peace' in South Africa?",1988-01-03,article,News,,['BLACKS (NON-US)']
San Francisco Journal; The Rush These Days Is Hardly for Gold,1988-01-15,article,News,,"['Parking', 'Roads and Traffic']"
"BUSINESS DIGEST: SATURDAY, JANUARY 30, 1988",1988-01-30,article,Summary,,[]
Washington Talk: Urban Affairs; Mayors See Captial's Gold Dust Turn to Sawdust,1988-01-22,article,News,,"['Mayors', 'Federal Aid (US)', 'Urban Areas']"
DOLLAR FALLS AS STOCKS PLUMMET,1988-01-09,article,News,,"['INTERNATIONAL MONETARY SYSTEM', 'Currency']"
NEW YORK STOCK EXCHANGE ISSUES,1988-01-02,article,Statistics,,['TERMS NOT AVAILABLE']
"The Speech: Jack F. Kemp; 'The Dollar Should Be So Trustworthy, So Good, That It's as Good as Gold'",1988-01-12,article,Text,,['Presidential Election of 1988']
"BUSINESS DIGEST: FRIDAY, JANUARY 22, 1988",1988-01-22,article,Summary,,[]
"BUSINESS DIGEST: FRIDAY, JANUARY 8, 1988",1988-01-08,article,Summary,,[]
