headline,date,doc_type,material_type,section,keywords
Putting a Bugatti on Your Wrist,2017-11-17,article,News,,['Watches and Clocks']
Lalaounis Continues to Create ‘Jewelry With a Soul’,2017-11-22,article,News,,"['Jewels and Jewelry', 'Gold']"
The Strategy at Girard-Perregaux is on Time,2017-11-02,article,News,,"['Watches and Clocks', 'Luxury Goods and Services']"
Obamacare vs. the Saboteurs,2017-11-04,article,Editorial,,"['Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care', 'United States Politics and Government']"
Generations of Jewelry in a Small Italian City,2017-11-22,article,News,,"['Jewels and Jewelry', 'Shopping and Retail']"
Bitcoin Expansion Is Off the Table. At Least for Now.,2017-11-08,article,News,,"['Bitcoin (Currency)', 'Virtual Currency', 'Prices (Fares, Fees and Rates)']"
Jewelry Diversity: A Taiwanese Designer at a Finnish Brand,2017-12-01,article,News,,['Jewels and Jewelry']
A Watch Collector Who Is ‘a Bit of a Metalhead’,2017-11-15,article,News,,"['Watches and Clocks', 'Collectors and Collections']"
National Parks for the 1 Percent,2017-11-03,article,Op-Ed,,"['Federal Budget (US)', 'United States Politics and Government', 'Land Use Policies', 'National Parks, Monuments and Seashores', 'Civil War (US) (1861-65)']"
High Jewelry Today. Clients Tomorrow?,2017-12-01,article,News,,['Jewels and Jewelry']
