headline,date,doc_type,material_type,section,keywords
"Uncertain Times in India, but Not for a Deity",2013-09-18,article,News,,['Hinduism']
Dawn of a Revolution in Health Care,2013-09-28,article,Editorial,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Editorials']"
"A Culinary Landmark, Back on the Map",2013-09-05,article,Review,,['Restaurants']
Watchmakers Target Asia With Asian Aesthetics,2013-09-04,article,News,,"['Watches and Clocks', 'Jewels and Jewelry', 'Luxury Goods']"
What we talk about when we talk about new iPhones,2013-09-10,wirecutterarticle,,,[]
On Park Avenue: Elegant and Homey,2013-09-06,article,News,,['Real Estate and Housing (Residential)']
Designing a Handbag Niche,2013-09-17,article,News,,"['Handbags and Purses', 'Fashion and Apparel']"
‘Affordable Care’ or a Rip-Off?,2013-09-28,article,News Analysis,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Prices (Fares, Fees and Rates)']"
Wheelies: The ‘No More Mr. Nice Guy’ Edition,2013-09-26,article,News,,['Automobiles']
"Apple Unveils Faster iPhone, and a Cheaper One, Too",2013-09-10,article,News,,['iPhone']
