headline,date,doc_type,material_type,section,keywords
"Some Health Plan Costs to Increase by an Average of 25 Percent, U.S. Says",2016-10-24,article,News,,"['Patient Protection and Affordable Care Act (2010)', 'Prices (Fares, Fees and Rates)', 'Health Insurance and Managed Care', 'Presidential Election of 2016']"
Is New York Too Expensive for Restaurateurs? We Do the Math,2016-10-25,article,News,,"['Restaurants', 'Renting and Leasing (Real Estate)', 'Minimum Wage', 'Economic Conditions and Trends']"
"$1.5 Million Homes in Louisiana, Maine and Colorado",2016-10-19,article,News,,['Real Estate and Housing (Residential)']
"Saudi Arabia, Where Even Milk Depends on Oil, Struggles to Remake Its Economy",2016-10-13,article,News,,"['Economic Conditions and Trends', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'Layoffs and Job Reductions', 'Labor and Jobs', 'Dairy Products', 'Series']"
Picking a Portfolio With Pokéballs,2016-10-14,article,News,,"['Stocks and Bonds', 'Computer and Video Games', 'Pokemon (Fictional Characters)', 'Mutual Funds', 'Mobile Applications']"
"Nirvana, Nordic Style, at Grand Central’s New Food Hall",2016-10-13,article,Review,,"['Restaurants', 'Bakeries and Baked Products']"
"Las Vegas, Known for Excess, Was Perfect Backdrop for Presidential Debate",2016-10-21,article,News,,"['Presidential Election of 2016', 'Debates (Political)']"
European collectors help bolster FIAC art fair,2016-10-21,article,News,,"['Conventions, Fairs and Trade Shows', 'Collectors and Collections']"
"Roja Dove, a Master Tailor (of Scent)",2016-10-02,article,News,,['Perfumes and Fragrances']
$1.6 Million Bill Tests Tiny Town and ‘Bulletproof’ Public Pensions,2016-10-09,article,News,,"['Pensions and Retirement Plans', 'Government Employees', 'States (US)', 'Local Government']"
